id,prompt,A,B,C,D,E,answer
5221,What is Xabi Aburruzaga known for?,"Xabi Aburruzaga is known for his expertise and achievements as a Basque musician and composer, particularly in the mastery of the Trikitixa, the diatonic accordion.","Xabi Aburruzaga is known for his significant contributions to the field of mathematics, specifically in the area of number theory.","Xabi Aburruzaga is known for his accomplishments as a professional athlete, excelling in the sport of cycling.",Xabi Aburruzaga is known for his contributions to the field of computer science as a pioneer in the development of artificial intelligence.,"Xabi Aburruzaga is known for being a renowned painter and sculptor, specializing in abstract art.",A
5222,What was Annie Mack Berlein known for?,Her exceptional talents in singing and dancing.,Her transition from an Irish citizen to an American citizen.,Her influential role in shaping American theater.,Her successful career as a stage actress in Ireland.,Her rich Irish heritage and cultural contributions.,D
5223,In which fleet did the HMS Royal Sovereign serve as the flagship?,Mediterranean Fleet,Coast Guard Fleet,Scrap Fleet,Channel Fleet,Reserve Fleet,D
5224,What is the Ecclesiastical province of the Diocese of Kaposvár?,The Ecclesiastical province of the Diocese of Kaposvár is the Archdiocese of Kalocsa-Kecskemét.,The Ecclesiastical province of the Diocese of Kaposvár is the Diocese of Székesfehérvár.,The Ecclesiastical province of the Diocese of Kaposvár is the Diocese of Budapest.,The Ecclesiastical province of the Diocese of Kaposvár is the Metropolitan Archdiocese of Veszprém.,The Ecclesiastical province of the Diocese of Kaposvár is the Archdiocese of Eger.,D
5225,"When was the debut full-length studio album ""Condition Critical"" by White Noise Owl released?","On November 1, 2019",In October 2019,"Over two years prior to the album release, on August 1, 2017",Shortly after their debut EP Until We Meet Again,Multiple delays caused an indefinite release date,A
5226,What is the total length of the Lys or Leie river?,101 kilometers (63 mi),250 kilometers (155 mi),150 kilometers (93 mi),202 kilometers (126 mi),300 kilometers (186 mi),D
5227,"What was the name of the typhoon that struck southern Vietnam in 1997, causing significant damage and loss of life?",Typhoon Openg,Tropical Depression Openg,Severe Tropical Storm Openg,Cyclonic Storm Linda,Typhoon Linda,E
5228,What was the outcome of the Battle of Perryville during the American Civil War?,"The Battle of Perryville ended in a tactical victory for the Union forces, causing Confederate Gen. Bragg's Army of Mississippi to retreat to Tennessee.","The Battle of Perryville was inconclusive, as both Union and Confederate forces were unable to gain an advantage and continue fighting for control of Kentucky.","The Battle of Perryville resulted in a decisive Confederate victory, leading to their control over the state of Kentucky for the remainder of the war.","The Battle of Perryville resulted in a stalemate, with no clear winner as both Union and Confederate forces suffered heavy losses.","The Battle of Perryville led to a Union defeat, allowing Confederate forces to gain control over the critical border state of Kentucky.",A
5229,What is the demographic classification of Męcina village in Poland?,Męcina is a regional capital in southern Poland.,Męcina is an administrative district in Limanowa County.,Męcina is a county within the Lesser Poland Voivodeship.,Męcina is an administrative district in the province of Nowy Sacz.,Męcina is an administrative district in Malopolska province.,B
5230,What is the nickname of Serbian footballer Jovan Jovanović?,Jovan Jovanović is nicknamed Dribbler after his exceptional dribbling skills on the field.,Jovan Jovanović is nicknamed Ace after being recognized as the top player in his team.,Jovan Jovanović is nicknamed Gol after his scoring prowess as a forward.,Jovan Jovanović is nicknamed Keeper after his outstanding goalkeeping abilities.,Jovan Jovanović is nicknamed Zmaj after the Serbian poet Jovan Jovanović Zmaj.,E
5231,What organization has been organizing the European 10m Championships for ISSF 10metre air rifle and pistol disciplines since 1971?,The European Union of Shooting Associations (EUSA),The International Shooting Union (ISU),The European Shooting Confederation (ESC),The International Shooting Sport Federation (ISSF),The European Rifle and Pistol Association (ERPA),C
5232,Who directed the 2018 Peruvian comedy film Margarita 2?,Vanessa Saba,Melania Urbina,Giovanni Ciccia,Frank Pérez-Garland,Alberto Rojas Apel,D
5233,"Which First Nation is the Indian reserve of Jackfish Point 214 located within Alberta, Canada?",Mohawk Nation,Nakoda Nation,Dene Tha' First Nation,Cree Nation,Tsuu T'ina Nation,C
5234,What is a croft?,A traditional piece of clothing worn by women in the Scottish Highlands.,"A savory pastry dish filled with a combination of meat, potatoes, and vegetables.",A type of cattle breed originating from Ireland known for its distinctive red color.,"A fenced or enclosed area of land, usually small and arable, with a crofter's dwelling.",A traditional Scottish dance performed at weddings and other festive occasions.,D
5235,Which group of reptiles replaced the extinct Ophiacodontids in the Middle Permian?,Diapsid reptiles,Theriodonts,Mammals,Anomodonts,Therapsids,A
5236,What is the main purpose of the Sunja municipality in Croatia?,"Sunja is a popular tourist destination, renowned for its scenic natural landscapes and outdoor activities.","Sunja serves as a significant industrial hub in the Sisak-Moslavina County, attracting foreign investors.",Sunja is primarily known for its preservation of historical landmarks and cultural heritage.,"Sunja primarily focuses on providing educational services, with numerous schools and academic institutions in the area.","Sunja is known for its rich agricultural output, particularly in crop cultivation and livestock farming.",E
5237,Which of the following statements accurately describes neuropeptide FF receptor 1 (NPFF1) based on the provided Wikipedia excerpt?,NPFF1 is a human protein encoded by the NPFFR1 gene.,NPFF1 is a neuropeptide that acts as a receptor for the NPFFR1 gene.,NPFF1 is a human protein encoded by the NPF1 gene.,NPFF1 is a protein that is not encoded by the NPFFR1 gene.,"NPFF1 is a receptor for neuropeptide FF, encoded by the NPFF1 gene.",A
5238,What position did Nicolas Plestan play during his football career?,Defender,Goalkeeper,Coach,Striker,Midfielder,A
5239,How is Monégasque citizenship primarily determined?,Monégasque citizenship is primarily determined by a combination of parental heritage and place of birth.,"Monégasque citizenship is primarily determined by place of birth, but parental heritage is also taken into consideration.","Monégasque citizenship is primarily determined by parental heritage, regardless of place of birth.","Monégasque citizenship is primarily determined by birth to a Monégasque parent, regardless of place of birth.","Monégasque citizenship is primarily determined by place of birth, regardless of parental heritage.",D
5240,"What is the significance of MSC Meraviglia being the lead ship of MSC's new ""Vista Project"" vessels, the Meraviglia class?",MSC Meraviglia is the most technologically advanced cruise ship in the industry.,MSC Meraviglia was the most expensive cruise ship ever built at the time of its construction.,"MSC Meraviglia was the first cruise ship to be built at the Chantiers de l'Atlantique shipyard in St. Nazaire, France.",MSC Meraviglia is the most luxurious cruise ship in the Meraviglia class.,MSC Meraviglia has the highest passenger capacity of any cruise ship in the world.,C
5241,What was Alonso Martínez de Espinar's occupation?,Alonso Martínez de Espinar was a prominent playwright and poet of the Spanish Baroque era.,Alonso Martínez de Espinar was a courtier and one of three important writers on venery of the Spanish Baroque.,Alonso Martínez de Espinar was an influential politician who held various high-ranking positions in the Spanish government.,Alonso Martínez de Espinar was a military strategist who served in the Spanish army during several wars.,Alonso Martínez de Espinar was a renowned painter and sculptor during the Spanish Baroque period.,B
